Titel;Nøgle
Dato seneste EFR brev konverteret;ab-dato-seneste-EFR-brev-konverteret
Brøkafhængige indkomstuafhængige Gl.FØP-beløb;ab-broekafhaengige-indkomstuafhaengige-glfoep-beloeb
Ikke berettiget til pension i efterreguleringsperioden, da under minimumsbeløbet;ab-ikke-berittiget-til-pension-efrperioden-under-minimumsbeloeb
EFR Grundbeløb FOP – 1/40 for opgørelsesperioden;af-efr-grundbeloeb-fop-1-40-opgoerperiode
EFR FØP – 1/40 for opgørelsesperioden;af-efr-grundbeloeb-foep-1-40-opgoerperiode
EFR Grundbeløb Gl. FØP – 1/40 for opgørelsesperioden;af-efr-grundbeloeb-glfoep-1-40-opgoerperiode
"AIO ikke kørt og bevilling ligger 1.1 næste år eller senere	";ab-aio-ej-koert-bevilling-ligger-1-1-naeste-aar-senere
Pensionstillæg Henstår;tafPensionstillaegHenstaar
Grundbeløb Henstår;tafGrundbeloebHenstaar
Opvarmningsform el/gas;ab-opvarmningsform-el-gas
tab Varmetillæg Opvarmningsform el/gas;tabOpvformElGas
Husholdningsfradrag;af-husholdningsfradrag-varmetill
Varmetillæg Husholdningafradrag;tafHushodningsfradrag
Førtidspension Henstår;tafFoepHenstaar
Straksudbetaling;ab-straksudbetaling
"Brevmodtager død	";"ab-brevmodtager-doed	"
Samlet skattepl. regulering brutto;af-samlet-skattpl-reg-brutto-atp-disp-dato1
Samlet skattefri regulering brutto;af-samlet-skattefri-regulering-atp-disp-dato1
"Samlet skattepl. regulering brutto	";af-samlet-skattpl-reg-brutto-supp-disp-dato1
Samlet skattefri regulering brutto;af-samlet-skattefri-regulering-supp-disp-dato1
Varmetillæg Flyttet fra afdøde;tabVarmetillaegFlyttetFraAfdoede
Varmetillæg Regulering samlet;af-varmetillaeg-regulering-samlet
Varmetillæg ændret næste år pga samlevers død efter AIO;tabVarmetillaegAendretNaesteAarPgaSamleversDoedEfterAio
tBV1b;tBV1b
Varmetillæg ændret efter samlevers død;ab-varmetillaeg-aendret-efter-efterlevelsespension
Varmetillæg uændret efter samlevers død;ab-varmetillaeg-uaendret-efter-efterlevelsespension
Varmetillæg Større end 0 kr. efter samlevers død;ab-varmetillaeg-stoerre-end-0-kr-efter-efterlevelsespension
Varmetillæg 0 kr. efter samlevers død;ab-varmetillaeg-0-kr-efter-efterlevelsespension
Varmetillæg 0 kr. efter samlevers død pga varmeudgift;ab-varmetillaeg-0-kr-efter-efterlevelsespension-pga-varmeudgift
Varmetillæg 0 kr. efter samlevers død pga tillægsprocent ;ab-varmetillaeg-0-kr-efter-efterlevelsespension-pga-tillaegsprocent 
Varmetillæg Regulering efter samlevers død;ab-varmetillaeg-regulering-efter-efterlevelsespension
"varmetillæg Efterlevelsespension	";ab-varmetillaeg-efterlevelsespension
Opgørelsesperiode skæv efter samlevers død;ab-opgoerperiode-skaev-efter-efterlevelespension
Varmetillæg Virkningsdato nyt efter samlevers død;af-varmetillaeg-virkningsdato-nyt-efter-samlevers-doed
Varmetillæg Mdl - Nyt som enlig efter samlevers død;af-varmetillaeg-mdl-enlig-efter-efterlevelsespension
Disp.dato1 Varmetillæg efter samlevers død;af-disp-dato1-varmetillaeg-efter-efterlevelsespension
Disp.dato2 Varmetillæg efter samlevers død;af-disp-dato2-varmetillaeg-efter-efterlevelsespension
Sidste dag i eft.lev.pensionsmåned el.saml.dødsmåned;af-sidste-dag-efterlevelsespensionsmaaned
Beløb Skæv periode efter samlevers død;af-varmetillaeg-beloeb-skaev-periode-efter-varmetillaeg
Reguleringsbeløb efter samlevers død;af-reguleringsbeloeb-efter-efterlevelsespension
1.dag i måned efter pension som enlig efter saml. død;af-1-dag-maaned-efter-efterlevelsespension
AIO kørt;ab-varmetillaeg-aio-koert
Varmetillæg Kun i en del af omregningsperioden;ab-varmetillaeg-kun-i-en-del-af-omregningsperioden
"varmetillæg Flere opgørelsesperioder	";ab-varmetillaeg-flere-opgoerelsesperioder
Varmetillæg uændret da fortsat under egenbetaling;ab-varmetillaeg-uaendret-da-fortsat-under-egenbetaling
1327_2;1327_2
1327_3;1327_3
1327_1;1327_1
1327;1327
Varmetillæg uændret da fortsat max;ab-varmetillaeg-uaendret-da-fortsat-max
Varmetillæg uændret pga uændret varmeudgift;ab-varmetillaeg-uaendret-pga-uaendret-varmeudgift
Varmetillæg uændret pga usammenhængende varmeregnskaber;ab-varmetillaeg-uaendret-pga-usammenhaengende-varmeregnskab
Varmetillæg uændret pga 10%-reglen;ab-varmetillaeg-uaendret-pga-10pct-regel
Varmetillæg ændret negativt pga 10%-reglen;ab-varmetillaeg-aendret-negativt-pga-10pct-regel
Varmetillæg ændret;ab-varmetill-aendret
Varmetillæg uændret;ab-varmetill-uaendret
"Varmetillæg Ingen efterbetaling pga.10%-reglen	";"ab-varmetillaeg-ingen-efterbetaling-pga-10pct-regel	"
"varmetillæg Ingen efterbetaling pga. tillægsprocent 0	";"ab-varmetillaeg-ingen-efterbetaling-pga-tillaegsprocent0	"
"Varmetillæg Ingen efterbetaling pga. beregnet efterbet. 0 kr., till.% større end 0	";"ab-varmetillaeg-ingen-efterbetaling-pga-beregnet-efterbetaling-0-kr-till-stoerre-end-0	"
BV3_1 ;BV3_1 
BV3_2;BV3_2
BV3_3;BV3_3
BV3_4;BV3_4
BV3_5;BV3_5
B3C_1_Eng;B3C_1_Eng
B3C_2_Eng;B3C_2_Eng
tBV3;tBV3
BV4_1;BV4_1
BV4_2;BV4_2
BV4_4;BV4_4
BV4_3;BV4_3
tBV4;tBV4
taf Varmetillæg Opvarmningsform med hushold;tafOpvformMedHushold
tab Varmetillæg Kollektiv opvarmning varmekilder;tabKollektivOpv
tBV1_1;tBV1_1
tBV1_2;tBV1_2
tBV1_5;tBV1_5
taf Varmetillæg Varmekilder;tafVarmekilder
BV5_1;BV5_1
BV5_2;BV5_2
taf Varmetillæg Kollektiv opvarmning varmekilder;tafFradragKollektivOpv
Husholdningsfradrag;tafHusholdningsfradrag
Varmeudgift til beregning af fradrag kollektiv opv.;tafVarmetillaegTilBeregningAfFradragKollektivOpv
Varmetillæg Varmekilde;tafVarmetillaegVarmekilde
Varmetillæg Fradrag kollektiv opvarmning;tafVarmetillaegFradragKollektivOpvarmningVarmekilde
Varmetillæg Varmekilder;tafVarmetillaegVarmekilder
Varmetillæg Opvarmningsform el/gas ;tabVarmetillaegOpvarmningsformElGasVarmekilde
Varmetillæg Husholdningsfradrag varmekilde;tafVarmetillaegHusholdningsfradragVarmekilde
Varmetillæg Varmeudgift til beregning af fradrag kollektiv opv.;tafVarmetillaegVarmeudgiftTilBeregningAfFradragKollektivOpv
varmetillæg Kollektiv opvarmning;tabVarmetillaegKollektivOpvarmningVarmekilde
Varmetillæg uændret pga 10%-reglen;tabVarmetillaegUaendretPga10PctReglen
Varmetillæg uændret da fortsat under egenbetaling;tabVarmetillaegUaendretDaFortsatUnderEgenbetaling 
Varmetillæg uændret da fortsat max;tabVarmetillaegUaendretDaFortsatNedsatTilMax 
Varmetillæg Ændret;tabVarmetillaegAendret 
Hvis mere end 1 varmekilde;tabHvisMereEnd1Varmekilde 
Varmetillæg uændret pga uændret varmeudgift;tabVarmetillaegUaendretPgaUaendretVarmeudgift 
Varmetillæg Acontovarme hidtil;tabVarmetillaegAcontovarmeHidtil 
Varmetillæg Et eller to års gennemsnit hidtil;tabVarmetillaegEtEllerToAarsGennemsnitHidtil 
Varmetillæg Beregningsgrundlag mindre end egenbetaling;tabVarmetillaegBeregningsgrundlagMindreEndEgenbetaling 
varmetillæg Nedsat til max;tabNedsatTilMax 
Mindst 2 års varmeudgift;tabVarmetillaegMindst2AarsVarmeudgift 
Varmetillæg Logerende;tabVarmetillaegLogerende 
Varmetillæg Ekstra personer - ikke S-samlever;tabVarmetillaegEkstraPersonerIkkeSSamlever 
S-samlever;tabVarmetillaegSSamlever 
Varmekompensation;tabVarmetillaegVarmekompensation 
Større end  0 kr.;tabVarmetillaegStoerreEnd0Kr 
Varmetillæg uændret da fortsat max;tabVarmetillaegUaendretDaFortsatMax
Efterbetaling;tabVarmetillaegEfterbetaling
FØP til gode;ab-foep-til-gode
Ingen regulering til boet;ab-ingen-regulering-til-boet
Pension til gode og udb. er ikke kun ekstra måneds pension;ab-pens-til-gode-udb-ej-ekstra-pens
Tilgodehavende engangsbeløb;ab-tilgodehavende-engangsbeloeb
Tilgodehavende til boet;ab-tilgodehavende-til-boet
Varmetillæg Tilgode;ab-varmetillaeg-tilgode-annulleret
Antal dage tilgodehavende;af-antal-dage-tilgodehavende
Død tilgodehavende fra;af-dato-doed-tilgodehavende-fra
Død tilgodehavende til;af-dato-doed-tilgodehavende-til
Død tilgodehavende fra;af-doed-tilgodehavende-fra
Død tilgodehavende til;af-doed-tilgodehavende-til
Tilgode SUPP pensionist;af-tilbagefoert-supp-bidrag
Tilgode A-skat;af-tilgode-askat
Tilgode beløb Kommunal serviceydelse;af-tilgode-beloeb-kommunal-serviceydelse
Tilgode efter død;af-tilgode-efter-doed
Varmetillæg Diff. Samlet;af-varmetillaeg-diff-samlet
Tilmeldt ATP og SUPP regulering;ab-atp-supp-reg
Frameldt ATP regulering;ab-frameldt-atp-reg
Frameldt SUPP regulering;ab-frameldt-supp-regulering
Genoptagelse udløser regulering;ab-genoptagelse-udloeser-regulering
Indregning;ab-indregning-varmtill
Kun fremadrettet virkning;ab-kun-fremadrettet-virkning
Pension til gode, udbetales disp.dato1 næste år;ab-pension-til-gode-udb-disp-dato1-naeste-aar
Regulering af ikke skattepligtige ydelser;ab-reg-ikke-skattepligt-ydelse
SUPP-ændring effektueres i dec., ingen regulering, og årsbrev er ikke udsendt;ab-supp-aendring-effektueres-dec-ej-regulering-aarsbrev-ej-udsendt
SUPP-ændring effektueres i dec., regulering, og årsbrev er ikke udsendt;ab-supp-aendring-effektueres-dec-regulering-aarsbrev-ej-udsendt
SUPP-ændring effektueres i febr, ingen regulering, og årsbrev er udsendt;ab-supp-aendring-effektueres-febr-ej-regulering-aarsbrev-udsendt
SUPP-ændring effektueres i febr, regulering, og årsbrev er udsendt;ab-supp-aendring-effektueres-febr-regulering-aarsbrev-udsendt
Tilmeldt ATP-bidrag regulering;ab-tilmeldt-atp-bidrag-regulering
